suite,task,condition,method,seed,score,eta,beta,rank
main,synthetic_2d,uniform,plain,10012,0.7218874096870422,0.1,0.0,4
main,synthetic_2d,uniform,plain,10013,0.7263236045837402,0.1,0.0,4
main,synthetic_2d,uniform,plain,10014,0.7237785458564758,0.1,0.0,4
main,synthetic_2d,uniform,plain,10015,0.7222592830657959,0.1,0.0,4
main,synthetic_2d,uniform,plain,10016,0.7219198942184448,0.1,0.0,4
main,synthetic_2d,uniform,write_diag,10001,0.7151947617530823,0.05,1.0,4
main,synthetic_2d,uniform,write_diag,10002,0.7174081802368164,0.05,1.0,4
main,synthetic_2d,uniform,write_diag,10003,0.7201263904571533,0.05,1.0,4
main,synthetic_2d,uniform,write_diag,10004,0.7202415466308594,0.05,1.0,4
main,synthetic_2d,uniform,write_diag,10005,0.7305499315261841,0.05,1.0,4
main,synthetic_2d,uniform,write_diag,10006,0.7201307415962219,0.05,1.0,4
main,synthetic_2d,uniform,write_diag,10007,0.7181486487388611,0.05,1.0,4
main,synthetic_2d,uniform,write_diag,10008,0.7118154764175415,0.05,1.0,4
main,synthetic_2d,uniform,write_diag,10009,0.7256066799163818,0.05,1.0,4
main,synthetic_2d,uniform,write_diag,10010,0.723992645740509,0.05,1.0,4
main,synthetic_2d,uniform,write_diag,10011,0.72369784116745,0.05,1.0,4
main,synthetic_2d,uniform,write_diag,10012,0.722000002861023,0.05,1.0,4
main,synthetic_2d,uniform,write_diag,10013,0.7264053225517273,0.05,1.0,4
main,synthetic_2d,uniform,write_diag,10014,0.7238368988037109,0.05,1.0,4
main,synthetic_2d,uniform,write_diag,10015,0.7222872376441956,0.05,1.0,4
main,synthetic_2d,uniform,write_diag,10016,0.7220364212989807,0.05,1.0,4
main,synthetic_2d,uniform,write_trace,10001,0.7157590389251709,0.1,1.0,2
main,synthetic_2d,uniform,write_trace,10002,0.719435453414917,0.1,1.0,2
main,synthetic_2d,uniform,write_trace,10003,0.7247684597969055,0.1,1.0,2
main,synthetic_2d,uniform,write_trace,10004,0.725793719291687,0.1,1.0,2
main,synthetic_2d,uniform,write_trace,10005,0.7329984903335571,0.1,1.0,2
main,synthetic_2d,uniform,write_trace,10006,0.723548948764801,0.1,1.0,2
main,synthetic_2d,uniform,write_trace,10007,0.7197483777999878,0.1,1.0,2
main,synthetic_2d,uniform,write_trace,10008,0.7126929759979248,0.1,1.0,2
main,synthetic_2d,uniform,write_trace,10009,0.7272081971168518,0.1,1.0,2
main,synthetic_2d,uniform,write_trace,10010,0.7261300086975098,0.1,1.0,2
main,synthetic_2d,uniform,write_trace,10011,0.7277306914329529,0.1,1.0,2
main,synthetic_2d,uniform,write_trace,10012,0.7250438928604126,0.1,1.0,2
main,synthetic_2d,uniform,write_trace,10013,0.7297157049179077,0.1,1.0,2
main,synthetic_2d,uniform,write_trace,10014,0.7261107563972473,0.1,1.0,2
main,synthetic_2d,uniform,write_trace,10015,0.7268193960189819,0.1,1.0,2
main,synthetic_2d,uniform,write_trace,10016,0.7238590717315674,0.1,1.0,2
main,synthetic_2d,uniform,dqd,10001,0.7165398597717285,0.1,1.0,2
main,synthetic_2d,uniform,dqd,10002,0.7177326679229736,0.1,1.0,2
main,synthetic_2d,uniform,dqd,10003,0.7225028276443481,0.1,1.0,2
main,synthetic_2d,uniform,dqd,10004,0.7235139608383179,0.1,1.0,2
main,synthetic_2d,uniform,dqd,10005,0.7331876158714294,0.1,1.0,2
main,synthetic_2d,uniform,dqd,10006,0.7221966981887817,0.1,1.0,2
main,synthetic_2d,uniform,dqd,10007,0.7194560170173645,0.1,1.0,2
main,synthetic_2d,uniform,dqd,10008,0.7144331336021423,0.1,1.0,2
main,synthetic_2d,uniform,dqd,10009,0.7273349761962891,0.1,1.0,2
main,synthetic_2d,uniform,dqd,10010,0.7271940112113953,0.1,1.0,2
main,synthetic_2d,uniform,dqd,10011,0.727911651134491,0.1,1.0,2
main,synthetic_2d,uniform,dqd,10012,0.7254495024681091,0.1,1.0,2
main,synthetic_2d,uniform,dqd,10013,0.7296394109725952,0.1,1.0,2
main,synthetic_2d,uniform,dqd,10014,0.7254550457000732,0.1,1.0,2
main,synthetic_2d,uniform,dqd,10015,0.7277428507804871,0.1,1.0,2
main,synthetic_2d,uniform,dqd,10016,0.72371506690979,0.1,1.0,2
main,synthetic_2d,uniform,full_query_trace,10001,0.7159152030944824,0.05,1.0,4
main,synthetic_2d,uniform,full_query_trace,10002,0.7188636660575867,0.05,1.0,4
main,synthetic_2d,uniform,full_query_trace,10003,0.7203615307807922,0.05,1.0,4
main,synthetic_2d,uniform,full_query_trace,10004,0.719793438911438,0.05,1.0,4
main,synthetic_2d,uniform,full_query_trace,10005,0.7310356497764587,0.05,1.0,4
main,synthetic_2d,uniform,full_query_trace,10006,0.7219222187995911,0.05,1.0,4
main,synthetic_2d,uniform,full_query_trace,10007,0.7194071412086487,0.05,1.0,4
main,synthetic_2d,uniform,full_query_trace,10008,0.7128587365150452,0.05,1.0,4
main,synthetic_2d,uniform,full_query_trace,10009,0.7267991304397583,0.05,1.0,4
main,synthetic_2d,uniform,full_query_trace,10010,0.7240216135978699,0.05,1.0,4
main,synthetic_2d,uniform,full_query_trace,10011,0.7247278094291687,0.05,1.0,4
main,synthetic_2d,uniform,full_query_trace,10012,0.7221341133117676,0.05,1.0,4
main,synthetic_2d,uniform,full_query_trace,10013,0.7260922789573669,0.05,1.0,4
main,synthetic_2d,uniform,full_query_trace,10014,0.7251301407814026,0.05,1.0,4
main,synthetic_2d,uniform,full_query_trace,10015,0.7232440710067749,0.05,1.0,4
main,synthetic_2d,uniform,full_query_trace,10016,0.7225792407989502,0.05,1.0,4
main,synthetic_2d,uniform,query_moment_reference,10001,0.7148787975311279,0.05,1.0,4
main,synthetic_2d,uniform,query_moment_reference,10002,0.7175551652908325,0.05,1.0,4
main,synthetic_2d,uniform,query_moment_reference,10003,0.7197909355163574,0.05,1.0,4
main,synthetic_2d,uniform,query_moment_reference,10004,0.7190533876419067,0.05,1.0,4
main,synthetic_2d,uniform,query_moment_reference,10005,0.7294466495513916,0.05,1.0,4
main,synthetic_2d,uniform,query_moment_reference,10006,0.7204325795173645,0.05,1.0,4
main,synthetic_2d,uniform,query_moment_reference,10007,0.7179329991340637,0.05,1.0,4
main,synthetic_2d,uniform,query_moment_reference,10008,0.7119094133377075,0.05,1.0,4
main,synthetic_2d,uniform,query_moment_reference,10009,0.7252035140991211,0.05,1.0,4
main,synthetic_2d,uniform,query_moment_reference,10010,0.7241063117980957,0.05,1.0,4
main,synthetic_2d,uniform,query_moment_reference,10011,0.7237665057182312,0.05,1.0,4
main,synthetic_2d,uniform,query_moment_reference,10012,0.7211795449256897,0.05,1.0,4
main,synthetic_2d,uniform,query_moment_reference,10013,0.7256687879562378,0.05,1.0,4
main,synthetic_2d,uniform,query_moment_reference,10014,0.7235308885574341,0.05,1.0,4
main,synthetic_2d,uniform,query_moment_reference,10015,0.7220891714096069,0.05,1.0,4
main,synthetic_2d,uniform,query_moment_reference,10016,0.7218925952911377,0.05,1.0,4
main,synthetic_2d,uniform,weighted_linear_reference,10001,0.6833670148032621,0.0,0.0,4
main,synthetic_2d,uniform,weighted_linear_reference,10002,0.6898513662940708,0.0,0.0,4
main,synthetic_2d,uniform,weighted_linear_reference,10003,0.6885200540390269,0.0,0.0,4
main,synthetic_2d,uniform,weighted_linear_reference,10004,0.6825971955451832,0.0,0.0,4
main,synthetic_2d,uniform,weighted_linear_reference,10005,0.690885132643117,0.0,0.0,4
main,synthetic_2d,uniform,weighted_linear_reference,10006,0.6914792037944019,0.0,0.0,4
main,synthetic_2d,uniform,weighted_linear_reference,10007,0.6878814275315949,0.0,0.0,4
main,synthetic_2d,uniform,weighted_linear_reference,10008,0.6856381443920097,0.0,0.0,4
main,synthetic_2d,uniform,weighted_linear_reference,10009,0.6905786049713095,0.0,0.0,4
main,synthetic_2d,uniform,weighted_linear_reference,10010,0.6952865011898057,0.0,0.0,4
main,synthetic_2d,uniform,weighted_linear_reference,10011,0.6946103496378715,0.0,0.0,4
main,synthetic_2d,uniform,weighted_linear_reference,10012,0.6854016658651783,0.0,0.0,4
main,synthetic_2d,uniform,weighted_linear_reference,10013,0.6884881221287735,0.0,0.0,4
main,synthetic_2d,uniform,weighted_linear_reference,10014,0.6908459445353261,0.0,0.0,4
main,synthetic_2d,uniform,weighted_linear_reference,10015,0.6918515651878019,0.0,0.0,4
main,synthetic_2d,uniform,weighted_linear_reference,10016,0.6914980967531574,0.0,0.0,4
main,word,observed,plain,10001,0.7837152481079102,0.05,0.0,4
main,word,observed,plain,10002,0.8137013912200928,0.05,0.0,4
main,word,observed,plain,10003,0.7771795392036438,0.05,0.0,4
main,word,observed,plain,10004,0.7324984669685364,0.05,0.0,4
main,word,observed,plain,10005,0.7356899976730347,0.05,0.0,4
main,word,observed,plain,10006,0.7981688976287842,0.05,0.0,4
main,word,observed,plain,10007,0.7473496794700623,0.05,0.0,4
main,word,observed,plain,10008,0.797222912311554,0.05,0.0,4
main,word,observed,plain,10009,0.7319837212562561,0.05,0.0,4
main,word,observed,plain,10010,0.7402597069740295,0.05,0.0,4
main,word,observed,plain,10011,0.7865709662437439,0.05,0.0,4
main,word,observed,plain,10012,0.8608421683311462,0.05,0.0,4
main,word,observed,plain,10013,0.7277946472167969,0.05,0.0,4
main,word,observed,plain,10014,0.7564025521278381,0.05,0.0,4
main,word,observed,plain,10015,0.8193348050117493,0.05,0.0,4
main,word,observed,plain,10016,0.7399828433990479,0.05,0.0,4
main,word,observed,write_diag,10001,0.6562164425849915,0.02,10.0,4
main,word,observed,write_diag,10002,0.6686189770698547,0.02,10.0,4
main,word,observed,write_diag,10003,0.6392953395843506,0.02,10.0,4
main,word,observed,write_diag,10004,0.6351451873779297,0.02,10.0,4
main,word,observed,write_diag,10005,0.6445604562759399,0.02,10.0,4
main,word,observed,write_diag,10006,0.6724998950958252,0.02,10.0,4
main,word,observed,write_diag,10007,0.6491273045539856,0.02,10.0,4
main,word,observed,write_diag,10008,0.6501979827880859,0.02,10.0,4
main,word,observed,write_diag,10009,0.6241713166236877,0.02,10.0,4
main,word,observed,write_diag,10010,0.6346538662910461,0.02,10.0,4
main,word,observed,write_diag,10011,0.6399316191673279,0.02,10.0,4
main,word,observed,write_diag,10012,0.7261781096458435,0.02,10.0,4
main,word,observed,write_diag,10013,0.6216914057731628,0.02,10.0,4
main,word,observed,write_diag,10014,0.6666956543922424,0.02,10.0,4
main,word,observed,write_diag,10015,0.724392831325531,0.02,10.0,4
main,word,observed,write_diag,10016,0.6442127227783203,0.02,10.0,4
main,word,observed,write_trace,10001,0.6430161595344543,0.02,10.0,4
main,word,observed,write_trace,10002,0.6387203335762024,0.02,10.0,4
main,word,observed,write_trace,10003,0.6240209341049194,0.02,10.0,4
main,word,observed,write_trace,10004,0.6268103718757629,0.02,10.0,4
main,word,observed,write_trace,10005,0.6327421069145203,0.02,10.0,4
main,word,observed,write_trace,10006,0.6475933194160461,0.02,10.0,4
main,word,observed,write_trace,10007,0.647255539894104,0.02,10.0,4
main,word,observed,write_trace,10008,0.6343948841094971,0.02,10.0,4
main,word,observed,write_trace,10009,0.6202287673950195,0.02,10.0,4
main,word,observed,write_trace,10010,0.6257187128067017,0.02,10.0,4
main,word,observed,write_trace,10011,0.6172500252723694,0.02,10.0,4
main,word,observed,write_trace,10012,0.7051719427108765,0.02,10.0,4
main,word,observed,write_trace,10013,0.6218833923339844,0.02,10.0,4
main,word,observed,write_trace,10014,0.6659868955612183,0.02,10.0,4
main,word,observed,write_trace,10015,0.6843582391738892,0.02,10.0,4
main,word,observed,write_trace,10016,0.6390694379806519,0.02,10.0,4
main,word,observed,dqd,10001,0.6281349658966064,0.02,10.0,4
main,word,observed,dqd,10002,0.6219692826271057,0.02,10.0,4
main,word,observed,dqd,10003,0.6177252531051636,0.02,10.0,4
main,word,observed,dqd,10004,0.6078577637672424,0.02,10.0,4
main,word,observed,dqd,10005,0.6245702505111694,0.02,10.0,4
main,word,observed,dqd,10006,0.6240893602371216,0.02,10.0,4
main,word,observed,dqd,10007,0.6256139278411865,0.02,10.0,4
main,word,observed,dqd,10008,0.6437134146690369,0.02,10.0,4
main,word,observed,dqd,10009,0.6281136274337769,0.02,10.0,4
main,word,observed,dqd,10010,0.6134338974952698,0.02,10.0,4
main,word,observed,dqd,10011,0.6011649370193481,0.02,10.0,4
main,word,observed,dqd,10012,0.6653788089752197,0.02,10.0,4
main,word,observed,dqd,10013,0.6150635480880737,0.02,10.0,4
main,word,observed,dqd,10014,0.6465652585029602,0.02,10.0,4
main,word,observed,dqd,10015,0.6452968120574951,0.02,10.0,4
main,word,observed,dqd,10016,0.6354340314865112,0.02,10.0,4
main,word,observed,full_query_trace,10001,0.6108684539794922,0.02,10.0,4
main,word,observed,full_query_trace,10002,0.6215693354606628,0.02,10.0,4
main,word,observed,full_query_trace,10003,0.6089749932289124,0.02,10.0,4
main,word,observed,full_query_trace,10004,0.6125867366790771,0.02,10.0,4
